"","vidid","adview","views","likes","dislikes","comment","category","time_in_sec","no_days_old"
"110","VID_1425",10,"2911207","18658","384","2599","B",449,623
"111","VID_10064",14,"845625","652","197","71","D",127,623
"112","VID_14226",1,"6487","23","1","0","D",250,1569
"113","VID_15797",1,"3793","2","3","0","E",902,1564
"114","VID_3472",8,"599143","1682","119","55","D",573,2194
"115","VID_1648",2,"13259","92","10","8","B",491,1657
"116","VID_9503",1,"141","0","0","0","D",31,575
"117","VID_2480",2,"678578","267","112","F","C",467,1315
"118","VID_8602",37895,"63164","60","5","7","D",183,519
"119","VID_8982",4,"542073","2043","138","459","D",87,1155
"120","VID_14355",1,"525236","7064","95","460","D",777,639
"121","VID_17457",2,"11909","40","1","2","E",65,2302
"122","VID_11597",1,"279067","1610","203","1823","D",1515,598
"123","VID_1682",2,"194540","2106","242","254","B",139,586
"124","VID_23459",1,"57917","461","11","10","H",883,1359
"125","VID_16568",1,"118990","195","11","14","E",112,885
"126","VID_14937",1,"10168","88","2","11","D",326,674
"127","VID_2049",1,"10328","79","14","F","B",261,1436
"128","VID_15574",1,"17530","95","5","11","E",145,547
"129","VID_13185",372,"40222","60","48","11","D",68,950
"130","VID_5985",1,"236928","281","37","6","D",163,757
"131","VID_14832",1909,"2019","4","0","3","D",385,410
"132","VID_1292",1,"610698","10095","183","646","B",317,1470
"133","VID_11830",2,"52837","989","15","53","D",416,506
"134","VID_4775",1,"113011","158","37","24","D",121,934
"135","VID_13433",68944,"187968","2972","185","564","D",340,459
"136","VID_2766",3,"318644","592","118","76","C",691,2082
"137","VID_20419",4,"2704332","3772","192","316","G",458,3201
"138","VID_11185",1,"5934","27","0","8","D",545,1604
"139","VID_19383",1,"54161","219","6","11","G",309,1717
"140","VID_21613",3801,"11097","58","3","7","G",227,1006
"141","VID_302",1,"269247","8142","134","744","A",2261,548
"142","VID_21309",2,"66892","232","8","125","G",566,3170
"143","VID_552",20,"144107","450","11","36","B",692,1507
"144","VID_16480",1,"8413","70","3","1","E",61,455
"145","VID_21170",1,"2721169","15452","401","564","G",254,478
"146","VID_13678",1,"61779","194","7","33","D",751,550
"147","VID_18469",2633,"3698","8","1","0","F",195,1391
"148","VID_21103",1,"1717192","6180","176","481","G",157,645
"149","VID_22641",1,"817940","3692","74","263","G",345,1298
"150","VID_7134",1,"427942","1244","47","114","D",217,1146
"151","VID_11160",2,"11304","56","3","8","D",697,1594
"152","VID_8978",12,"569363","3253","398","923","D",117,916
"153","VID_19297",7,"755505","1869","515","214","G",2097,798
"154","VID_4955",2,"166099","189","54","20","D",9059,1037
"155","VID_9749",4853,"6423","7","2","0","D",129,914
"156","VID_20934",8,"127347","F","F","4","G",3259,389
"157","VID_5857",1,"413720","2381","65","489","D",319,622
"158","VID_16313",1,"1350","1","0","0","E",6,1025
"159","VID_15260",6,"292248","901","42","66","E",179,1201
"160","VID_17272",27,"3475658","3593","1168","210","E",3707,1076
"161","VID_17996",2,"487233","2645","439","835","F",173,1049
"162","VID_11925",8,"162216","1005","25","37","D",169,642
"163","VID_4833",2,"2257","2","0","0","D",499,1622
"164","VID_14343",3,"849510","8176","1230","2190","D",119,2268
"165","VID_10094",1,"44545","62","17","15","D",701,557
"166","VID_21638",2,"236444","1037","92","61","G",2747,1073
"167","VID_3055",1,"146078","510","31","29","C",3290,1204
"168","VID_5664",1,"68763","75","29","1","D",1715,1327
"169","VID_1448",2,"2353030","26642","276","4564","B",582,738
"170","VID_23155",1,"797173","739","379","67","H",90,1006
"171","VID_10691",1,"539","0","0","0","D",122,1118
"172","VID_17370",7,"37147","234","9","4","E",149,593
"173","VID_3766",238,"1760531","2220","401","151","D",258,1676
"174","VID_8354",1,"150554","304","39","47","D",264,935
"175","VID_19847",4,"11678","25","0","1","G",600,2730
"176","VID_6432",3,"437404","1081","79","42","D",1845,1559
"177","VID_10724",7,"368","0","1","0","D",21,709
"178","VID_16202",1,"343728","488","75","74","E",6757,1044
"179","VID_15591",1,"11226","34","3","0","E",165,598
"180","VID_14455",2,"60994","78","16","12","D",78,1876
"181","VID_11748",1,"4834","0","0","0","D",8618,705
"182","VID_7727",21614,"36728","768","6","14","D",176,485
"183","VID_6234",7,"650504","1667","94","43","D",372,1546
"184","VID_3136",3,"770809","582","227","69","D",637,613
"185","VID_20751",2,"35171","383","5","60","G",366,2087
"186","VID_16755",5,"835520","7128","367","1194","E",3230,589
"187","VID_15245",1,"215305","238","53","74","E",252,1233
"188","VID_5084",6,"1107051","1421","134","47","D",46,1572
"189","VID_23045",1,"881444","F","F","37","H",415,1048
"190","VID_15027",1,"92","1","0","0","D",280,1450
"191","VID_11428",22,"132515","442","49","146","D",441,911
"192","VID_20252",1,"2631","14","1","3","G",806,1542
"193","VID_3921",8,"460207","826","94","24","D",276,1871
"194","VID_2698",1,"66676","277","10","18","C",1050,1051
"195","VID_1645",2210,"2551","0","0","2","B",76,1753
"196","VID_1572",191,"791067","7285","378","799","B",413,420
"197","VID_6135",1,"25886","88","5","6","D",362,1538
"198","VID_17495",1,"366630","260","142","13","E",114,925
"199","VID_14762",1,"1138910","2919","817","628","D",69,1499
"200","VID_15200",1,"1517387","4557","237","407","E",170,1368
"201","VID_20232",9,"113411","195","24","34","G",1175,1707
"202","VID_12917",3,"49113","587","15","131","D",180,1762
"203","VID_15774",4,"929267","349","104","24","E",8582,2598
"204","VID_13397",1,"161673","241","12","145","D",184,4160
"205","VID_147",1,"40771","481","13","59","A",160,477
"206","VID_6661",2,"95077","249","16","86","D",824,1460
"207","VID_23384",1,"1188997","2323","244","1278","H",594,572
"208","VID_18355",1,"544614","9149","52","474","F",179,758
"209","VID_34",2,"555270","971","61","162","A",625,1348
"210","VID_21258",1,"127370","106","170","57","G",341,2021
"211","VID_7262",3,"769740","1125","301","52","D",9188,833
"212","VID_15563",1,"320097","401","87","26","E",124,1030
"213","VID_1891",471,"1017837","47134","286","1785","B",654,1436
"214","VID_19205",1,"259096","722","58","47","G",311,895
"215","VID_8453",1,"37708","112","3","5","D",96,666
"216","VID_15772",11,"2287062","2088","545","111","E",5266,1305
"217","VID_7201",22,"1245266","821","340","F","D",85,584
"218","VID_6073",1,"578","0","1","0","D",417,1589
"219","VID_1082",12,"3383658","20552","1347","4722","B",582,693
"220","VID_124",1,"122309","485","24","44","A",476,1170
"221","VID_5291",5,"165692","93","10","8","D",16,2328
"222","VID_13683",1,"35552","103","12","17","D",994,410
"223","VID_18721",4,"210091","5475","222","642","F",504,643
"224","VID_11973",1,"80852","487","15","67","D",177,474
"225","VID_2386",1,"182838","1271","33","101","C",1381,968
"226","VID_4386",1,"174770","47","29","2","D",63,1581
"227","VID_21410",2,"61745","360","13","33","G",170,2041
"228","VID_7940",9,"173389","190","14","21","D",92,1990
"229","VID_9401",4,"213274","1456","117","161","D",631,554
"230","VID_13030",8,"6437","8","2","1","D",221,1436
"231","VID_11603",2,"451634","4494","452","330","D",273,1195
"232","VID_3439",8,"451701","736","113","54","D",4508,2075
"233","VID_13733",1,"6370","F","F","0","D",201,515
"234","VID_1983",16,"64627","111","5","7","B",162,1557
"235","VID_1075",92782,"994350","10883","269","1625","B",372,548
"236","VID_11837",913,"73858","1397","16","117","D",896,694
"237","VID_17247",1,"475","4","1","0","E",469,1712
"238","VID_5494",1,"201567","1820","33","58","D",790,1053
"239","VID_19581",1,"7359","25","4","1","G",961,2075
"240","VID_11333",1,"4918","4","1","0","D",31,758
"241","VID_9019",12,"2924037","15147","919","1118","D",3296,1064
"242","VID_12608",2,"1161919","685","230","59","D",875,616
"243","VID_22017",1,"78137","1440","38","300","G",148,1179
"244","VID_9590",4,"4159","10","0","2","D",120,1236
"245","VID_15394",1,"300603","936","117","836","E",677,701
"246","VID_22505",2,"2842181","7122","596","187","G",226,792
"247","VID_22542",1,"15242","31","17","2","G",53,1628
"248","VID_9240",1,"115598","90","39","F","D",119,395
"249","VID_15828",2,"72040","152","17","17","E",6198,1213
"250","VID_11050",7,"3502308","7062","716","219","D",57,1387
"251","VID_14559",1,"51841","183","8","24","D",1297,1522
"252","VID_304",1,"522447","14577","449","1243","A",1752,612
"253","VID_17350",8,"21650","37","4","3","E",152,883
"254","VID_555",11,"197430","482","29","31","B",688,1557
"255","VID_22072",18,"522846","2606","28","632","G",155,2708
"256","VID_20595",3,"6711","31","1","6","G",342,1675
"257","VID_977",2,"314985","1668","206","1099","B",667,617
"258","VID_1381",11,"231201","386","50","F","B",519,1646
"259","VID_13136",42,"201460","340","26","34","D",226,1830
"260","VID_21785",2,"2739797","8869","284","875","G",2516,1743
"261","VID_17071",1,"658","3","1","1","E",712,565
"262","VID_19887",4,"10911","35","6","3","G",675,2605
"263","VID_23241",1,"111503","F","F","19","H",1532,1169
"264","VID_11581",2,"1227231","7101","4607","1901","D",316,648
"265","VID_23159",8,"1663486","3908","532","235","H",275,572
"266","VID_6148",2,"646333","1418","92","38","D",277,1386
"267","VID_657",1,"220033","1025","189","575","B",273,609
"268","VID_14705",4,"511438","5855","529","314","D",267,599
"269","VID_22336",1,"243009","821","7","85","G",292,2738
"270","VID_3264",1,"433724","701","45","10","D",603,546
"271","VID_4874",1,"399467","1048","180","145","D",8523,2110
"272","VID_373",1,"72049","1859","31","671","A",507,561
"273","VID_3254",6,"261614","121","78","19","D",2377,2034
"274","VID_4827",2,"35862","50","2","2","D",1022,1426
"275","VID_4354",4,"1114667","525","305","23","D",153,708
"276","VID_3235",14,"560652","1016","196","95","D",1360,1615
"277","VID_21408",16,"4417750","21212","6067","1527","G",302,997
"278","VID_2887",2,"80668","631","25","76","C",275,1130
"279","VID_17439",1,"4852","43","0","33","E",1077,830
"280","VID_14987",1687,"171448","149","4","44","D",1164,604
"281","VID_10179",7,"632","4","0","0","D",21,521
"282","VID_21461",10,"1341876","2191","105","206","G",202,2726
"283","VID_1443",4,"6650767","61792","740","4780","B",345,1060
"284","VID_19943",1,"46944","152","27","23","G",5468,1604
"285","VID_11255",3,"16230","749","40","195","D",428,458
"286","VID_3083",6,"43861","231","5","25","C",240,1601
"287","VID_18500",5,"425953","6513","206","1312","F",409,577
"288","VID_7038",1,"209081","124","39","6","D",7179,1002
"289","VID_2044",1,"3787","132","9","45","B",154,1672
"290","VID_653",1,"715738","4569","138","556","B",214,1171
"291","VID_10698",1,"1041","2","1","1","D",61,449
"292","VID_12708",11,"1185443","13544","3457","3561","D",448,587
"293","VID_19397",25,"787026","1873","308","171","G",1180,1980
"294","VID_13062",1,"491738","817","115","76","D",9004,756
"295","VID_6480",3,"87604","125","11","5","D",483,2273
"296","VID_225",25,"143266","320","21","66","A",161,1776
"297","VID_1301",17,"2718145","31101","645","5071","B",446,771
"298","VID_16739",1,"73427","1806","7","336","E",819,643
"299","VID_11305",2,"30259","454","32","274","D",261,686
"300","VID_19820",2,"39803","220","5","8","G",996,2651
"301","VID_5423",7,"142533","452","19","27","D",730,738
"302","VID_4211",4,"223879","254","25","15","D",547,2699
"303","VID_18594",2,"35810","673","5","38","F",651,1088
"304","VID_5169",5,"1895040","6084","644","172","D",246,543
"305","VID_1195",1,"656479","4473","502","865","B",182,661
"306","VID_111",1,"359093","1431","48","268","A",401,1345
"307","VID_17206",1,"312793","1470","83","572","E",244,704
"308","VID_23337",5,"4419311","3204","1322","185","H",223,972
"309","VID_906",1,"19212","104","4","8","B",195,1942
"310","VID_21347",2,"1381","32","2","3","G",204,1192
"311","VID_20890",8,"138050","443","63","39","G",4629,1412
"312","VID_13694",1,"80088","105","5","29","D",542,837
"313","VID_7202",3,"99819","43","13","5","D",155,638
"314","VID_17492",7,"627292","2329","230","229","E",505,712
"315","VID_10839",2929,"4139","65","0","26","D",254,358
"316","VID_16468",14,"899472","7864","122","1337","E",166,1876
"317","VID_23066",1,"217276","503","88","121","H",903,744
"318","VID_21030",16,"3949469","25566","1358","4255","G",369,2195
"319","VID_2159",1,"8846","137","3","7","C",99,582
"320","VID_22902",1,"563","4","0","4","G",555,1251
"321","VID_19182",19,"303874","135","43","9","G",983,1668
"322","VID_15471",3,"283387","224","27","3","E",1821,1002
"323","VID_585",11,"51384","132","6","12","B",844,1495
"324","VID_2992",8,"2462561","1771","664","90","C",193,634
"325","VID_15793",1,"15930","7","4","0","E",913,1537
"326","VID_12188",1,"3096","69","1","5","D",415,853
"327","VID_20700",1,"21341","422","6","86","G",431,1507
"328","VID_8927",3,"371314","2765","198","660","D",217,992
"329","VID_11956",1,"14161","181","2","6","D",228,581
"330","VID_9288",1,"42318","113","6","10","D",213,856
"331","VID_9337",1,"38210","43","5","0","D",116,1654
"332","VID_11102",4,"1430600","13867","347","741","D",587,911
"333","VID_15932",1,"64466","161","13","23","E",7799,992
"334","VID_16388",3,"63015","363","15","42","E",83,612
"335","VID_146",1,"455101","2260","77","451","A",510,925
"336","VID_19677",1,"129869","787","49","12","G",331,1082
"337","VID_11",1,"43032","79","3","48","A",228,872
"338","VID_6589",7,"1020381","3007","769","2672","D",671,652
"339","VID_18747",1,"8682","26","2","2","F",356,1282
"340","VID_11044",2,"2708891","127170","2398","852","D",224,855
"341","VID_3564",1,"52198","175","9","4","D",289,2180
"342","VID_13886",1,"45163","249","557","901","D",864,2466
"343","VID_2244",1,"23062","83","6","5","C",98,1723
"344","VID_22453",19,"4033136","14200","307","1390","G",246,1026
"345","VID_23043",2,"966367","2077","422","644","H",762,1685
"346","VID_16489",35043,"55288","33","1","0","E",22,1045
"347","VID_14534",2,"438785","1318","146","46","D",159,583
"348","VID_10440",9,"1131602","2170","265","516","D",2371,561
"349","VID_6506",6,"950944","5214","925","7084","D",629,538
"350","VID_17612",2620,"54590","67","14","11","E",789,827
"351","VID_15611",1,"1136517","1439","176","201","E",35,848
"352","VID_17363",5408,"7315","28","6","3","E",16,424
"353","VID_14918",1,"812825","2793","154","319","D",337,787
"354","VID_13507",1,"45518","142","17","18","D",889,1733
"355","VID_18699",1,"697859","2924","241","180","F",335,649
"356","VID_9665",1,"96884","29","16","1","D",660,2031
"357","VID_23532",2,"379724","385","147","18","H",143,1037
"358","VID_3090",5,"45331","136","6","16","C",151,1748
"359","VID_21699",2408,"5772","76","0","10","G",308,439
"360","VID_23171",1,"114537","472","39","118","H",203,1332
"361","VID_896",8,"107491","676","8","37","B",367,1942
"362","VID_2745",1,"1039","6","0","4","C",299,2330
"363","VID_8337",2,"272078","530","30","26","D",287,1478
"364","VID_10258",2,"726","10","0","0","D",45,640
"365","VID_22063",26,"616379","3164","49","651","G",203,2708
"366","VID_17851",9,"109068","132","18","20","F",571,1739
"367","VID_10959",26,"1734941","9246","850","541","D",112,1399
"368","VID_11851",1,"566940","548","130","77","D",274,1072
"369","VID_7348",1,"908536","753","234","104","D",382,1123
"370","VID_2030",1,"726331","587","50","213","B",428,3738
"371","VID_10827",2787,"3482","41","0","7","D",234,360
"372","VID_20571",1,"1016669","14249","78","881","G",120,740
"373","VID_6488",2,"174656","988","116","446","D",171,562
"374","VID_11404",167,"271123","660","75","330","D",726,833
"375","VID_6770",66,"251876","324","45","28","D",1483,1655
"376","VID_14510",1,"855","0","2","1","D",75,1852
"377","VID_21383",5,"852691","1525","242","243","G",325,1034
"378","VID_18385",2,"51411","354","30","119","F",212,562
"379","VID_9997",224,"5453525","4143","1860","552","D",602,588
"380","VID_14371",138,"7247213","65467","1766","4562","D",620,1518
"381","VID_1659",1,"262109","3056","95","159","B",414,369
"382","VID_20439",1,"7264","24","0","5","G",600,752
"383","VID_2477",1,"177414","114","28","2","C",537,1315
"384","VID_2148",2,"115393","459","17","12","C",121,954
"385","VID_6665",4,"191786","112","24","3","D",98,1936
"386","VID_6468",71,"279282","657","46","56","D",647,2098
"387","VID_23216",1,"180404","53","44","1","H",27,1383
"388","VID_16326",1,"1916","6","0","1","E",21,663
"389","VID_22952",2877,"5075","26","2","1","G",137,551
"390","VID_4427",2,"246120","379","38","0","D",251,1526
"391","VID_9386",1,"356","1","0","0","D",299,1826
"392","VID_14150",1,"336595","815","52","33","D",77,999
"393","VID_23008",1087,"11294","83","4","8","G",3282,656
"394","VID_8958",1,"846245","4090","148","876","D",210,1221
"395","VID_747",1,"1611655","5812","348","651","B",1056,472
"396","VID_7197",2,"76430","74","20","6","D",73,570
"397","VID_16923",1,"658019","4778","396","313","E",815,776
"398","VID_15377",3,"29417","80","5","178","E",701,887
"399","VID_13241",1,"34962","1241","6","95","D",264,788
"400","VID_3882",16,"427297","854","61","73","D",257,2006
"401","VID_5748",1,"466663","749","46","117","D",313,2284
"402","VID_12418",2,"252108","208","94","5","D",955,744
"403","VID_11314",6,"222739","2425","137","2076","D",662,1487
"404","VID_19351",20,"539381","1682","214","232","G",3029,1480
"405","VID_8245",1,"57014","181","5","7","D",269,1572
"406","VID_9125",2,"412791","471","89","11","D",38,763
"407","VID_7790",1,"93132","146","12","10","D",595,3022
"408","VID_17824",5684,"139842","1662","53","265","F",336,416
"409","VID_11695",1,"393228","2040","112","70","D",48,980
"410","VID_20456",11,"1737011","1003","276","43","G",232,1272
"411","VID_15579",1,"332533","515","47","99","E",169,1094
"412","VID_4071",2,"105699","198","14","20","D",401,2985
"413","VID_14049",31,"15014236","18520","3770","1794","D",3640,1269
"414","VID_20385",2,"96697","1623","18","44","G",210,996
"415","VID_16937",1,"116320","1114","60","100","E",327,610
"416","VID_5694",9,"461810","449","73","13","D",3768,1437
"417","VID_19969",1,"29392","26","3","0","G",340,1284
"418","VID_7649",4,"493046","120","91","11","D",738,948
"419","VID_18480",2,"2544057","20707","1663","9253","F",1107,822
"420","VID_5160",3,"779007","2804","235","178","D",205,765
"421","VID_13819",1,"1079692","11261","451","975","D",440,949
"422","VID_1856",8,"276336","5635","51","740","B",446,720
"423","VID_190",5,"197169","238","46","46","A",118,1765
"424","VID_12775",1,"85982","1231","157","333","D",702,705
"425","VID_1871",10,"347821","3127","98","475","B",8,1086
"426","VID_14584",1,"292291","390","78","19","D",3720,1348
"427","VID_17572",186,"3982304","18428","411","5411","E",203,1726
"428","VID_3929",6,"880625","1500","167","47","D",193,994
"429","VID_23175",1,"46609","84","11","1","H",1534,1217
"430","VID_18419",2,"36605","667","35","102","F",984,1895
"431","VID_15677",3,"656624","853","416","94","E",8407,2371
"432","VID_16885",1,"18144","31","4","3","E",640,2459
"433","VID_22192",1,"54418","401","21","26","G",247,2035
"434","VID_10636",1,"149","1","0","0","D",31,757
"435","VID_13989",1,"23354","28","4","0","D",1337,2073
"436","VID_14708",1,"983777","1091","509","162","D",4752,378
"437","VID_9207",3,"295391","384","65","41","D",184,1359
"438","VID_7265",1,"52504","32","5","0","D",169,1732
"439","VID_16140",1,"885","0","0","0","E",1394,1450
"440","VID_20780",1,"535","8","0","1","G",197,597
"441","VID_15875",3,"153218","46","39","0","E",933,1577
"442","VID_19485",48,"59598","125","7","5","G",343,2087
"443","VID_17935",4,"1929022","21541","2238","F","F",210,953
"444","VID_7368",1,"270802","1027","111","112","D",320,767
"445","VID_17137",3,"989705","13734","993","1447","E",437,688
"446","VID_17329",1,"7422","49","5","4","E",1113,1618
"447","VID_2537",1,"77147","348","87","189","C",3449,617
"448","VID_9119",1,"49658","20","7","1","D",47,806
"449","VID_5723",2,"269256","366","66","11","D",1065,1437
"450","VID_10542",1,"65006","642","20","24","D",72,617
"451","VID_5359",1,"60898","161","8","9","D",1243,1788
"452","VID_12870",1,"7274","29","7","10","D",60,1519
"453","VID_9797",4642,"12346","17","1","0","D",392,1087
"454","VID_18027",1,"675863","3208","439","1210","F",194,1001
"455","VID_9383",1,"874","2","2","0","D",91,1795
"456","VID_5597",23,"268833","491","28","60","D",126,2349
"457","VID_17649",2,"5377","13","3","2","F",2125,1670
"458","VID_753",1,"514763","1011","100","119","B",966,731
"459","VID_10405",11,"299429","567","75","74","D",2322,1055
"460","VID_5948",2,"3464","5","1","0","D",111,1429
"461","VID_6360",1,"134606","182","18","13","D",622,2868
"462","VID_5856",2,"133875","1029","23","164","D",225,614
"463","VID_23701",5,"697712","13022","246","1251","H",1815,564
"464","VID_9260",3,"177977","269","57","24","D",1577,1676
"465","VID_16826",4,"43365","80","6","15","E",667,2468
"466","VID_21855",1,"33976","34","19","0","G",136,727
"467","VID_18087",1,"158","20","1","32","F",674,825
"468","VID_4266",1,"867685","263","252","24","D",83,1554
"469","VID_17054",2,"37811","549","7","21","E",245,995
"470","VID_14060",1,"250701","1097","212","458","D",459,4083
"471","VID_17982",2,"2397044","58311","6017","6144","F",352,638
"472","VID_23136",1,"611242","1575","185","160","H",3900,736
"473","VID_192",6,"53465","47","11","6","A",179,2023
"474","VID_13450",1,"303980","1273","69","162","D",283,603
"475","VID_7846",1,"34267","70","2","5","D",540,2749
"476","VID_464",1,"17792","114","3","25","A",1590,1670
"477","VID_13808",1,"205268","197","7","5","D",173,1332
"478","VID_5612",1,"6144","18","2","2","D",101,1575
"479","VID_7178",1,"763778","594","177","114","D",215,939
"480","VID_7215",26,"1434549","2886","690","255","D",622,561
"481","VID_4582",1,"11167","6","0","1","D",106,660
"482","VID_21856",2,"1046440","1121","534","39","G",85,899
"483","VID_14193",722,"2190","7","2","0","D",361,1388
"484","VID_17200",2,"471095","2446","113","1180","E",287,670
"485","VID_9813",963,"1242","3","0","0","D",307,1101
"486","VID_6485",8,"183472","588","22","32","D",665,1531
"487","VID_15564",1,"863852","1605","216","148","E",183,1027
"488","VID_4698",13,"156211","454","15","32","D",1326,1648
"489","VID_2830",4,"145843","137","46","6","C",1270,1509
"490","VID_10402",3,"1119574","4226","219","338","D",125,1014
"491","VID_13453",1,"203019","7859","159","197","D",632,617
"492","VID_9243",1,"253295","1473","263","F","D",110,409
"493","VID_15902",1,"22265","155","6","12","E",626,595
