"","ad.vidid","ad_view"
"273","VID_3878",72
"274","VID_4799",70
"275","VID_12287",49
"276","VID_15607",16
"277","VID_9974",41
"278","VID_20032",53
"279","VID_9920",73
"280","VID_7959",61
"281","VID_21506",3
"282","VID_15898",30
"283","VID_4349",75
"284","VID_16235",-31
"285","VID_6391",38
"286","VID_4940",-26
"287","VID_16185",-12
"288","VID_6988",-19
"289","VID_877",24
"290","VID_23610",17
"291","VID_17702",36
"292","VID_18664",47
"293","VID_9915",77
"294","VID_4438",46
"295","VID_15812",-33
"296","VID_15966",74
"297","VID_2832",73
"298","VID_20533",26
"299","VID_12692",2
"300","VID_11340",55
"301","VID_10760",75
"302","VID_19631",73
"303","VID_7012",-31
"304","VID_7799",57
"305","VID_3963",14
"306","VID_501",69
"307","VID_9202",23
"308","VID_14268",73
"309","VID_21714",55
"310","VID_23154",19
"311","VID_4429",20
"312","VID_16062",19
"313","VID_6282",47
"314","VID_13205",19
"315","VID_8515",74
"316","VID_9480",55
"317","VID_21979",27
"318","VID_18494",71
"319","VID_20589",64
"320","VID_15916",42
"321","VID_17023",-28
"322","VID_8425",-48
"323","VID_3586",10
"324","VID_5788",46
"325","VID_12137",16
"326","VID_14347",24
"327","VID_19044",23
"328","VID_11039",56
"329","VID_3484",53
"330","VID_15142",64
"331","VID_3351",55
"332","VID_5895",34
"333","VID_16112",12
"334","VID_19247",59
"335","VID_11439",62
"336","VID_18883",47
"337","VID_12140",16
"338","VID_17446",69
"339","VID_5115",65
"340","VID_21486",-12
"341","VID_17120",13
"342","VID_3959",1
"343","VID_15956",-23
"344","VID_15739",-25
"345","VID_2682",68
"346","VID_14621",48
"347","VID_9320",61
"348","VID_12110",46
"349","VID_11354",6
"350","VID_811",60
"351","VID_9472",78
"352","VID_4773",50
"353","VID_12695",9
"354","VID_19547",50
"355","VID_530",17
"356","VID_155",27
"357","VID_22955",50
"358","VID_20307",18
"359","VID_11612",4
"360","VID_15674",25
"361","VID_13000",81
"362","VID_1455",66
"363","VID_23534",51
"364","VID_18740",71
"365","VID_17988",37
"366","VID_21728",47
"367","VID_10905",71
"368","VID_18445",42
"369","VID_21983",49
"370","VID_16023",5
"371","VID_1444",46
"372","VID_1814",9
"373","VID_19094",47
"374","VID_19355",-63
"375","VID_20430",80
"376","VID_13461",56
"377","VID_9066",58
"378","VID_3020",31
"379","VID_13577",38
"380","VID_5062",16
"381","VID_9293",-38
"382","VID_16663",20
"383","VID_20444",23
"384","VID_22353",28
"385","VID_22384",0
"386","VID_23036",43
"387","VID_12705",51
"388","VID_11785",26
"389","VID_22988",44
"390","VID_9495",80
"391","VID_8909",58
"392","VID_13459",72
"393","VID_22206",51
"394","VID_12228",48
"395","VID_2335",3
"396","VID_17498",16
"397","VID_18702",77
"398","VID_10850",47
"399","VID_12956",77
"400","VID_6246",71
"401","VID_9539",50
"402","VID_17436",27
"403","VID_8383",-32
"404","VID_4554",44
"405","VID_18487",23
"406","VID_6285",61
"407","VID_287",77
"408","VID_5371",31
"409","VID_10704",78
"410","VID_20810",67
"411","VID_7972",50
"412","VID_10923",35
"413","VID_11876",57
"414","VID_15477",0
"415","VID_12366",78
"416","VID_6538",30
"417","VID_10092",37
"418","VID_6826",14
"419","VID_22526",58
"420","VID_10897",31
"421","VID_3400",64
"422","VID_9995",32
"423","VID_19337",14
"424","VID_9673",81
"425","VID_12280",71
"426","VID_14038",32
"427","VID_11157",26
"428","VID_13406",76
"429","VID_7774",47
"430","VID_7386",54
"431","VID_2419",40
"432","VID_6334",58
"433","VID_1778",47
"434","VID_4907",16
"435","VID_7122",69
"436","VID_10445",50
"437","VID_18113",35
"438","VID_6716",47
"439","VID_5803",73
"440","VID_6459",44
"441","VID_14427",-23
"442","VID_3872",71
"443","VID_6774",60
"444","VID_11609",8
"445","VID_21821",17
"446","VID_14317",18
"447","VID_4982",17
"448","VID_5798",65
"449","VID_4365",42
"450","VID_6535",57
"451","VID_7237",55
"452","VID_10388",37
"453","VID_17934",32
"454","VID_838",78
"455","VID_5439",74
"456","VID_11455",54
"457","VID_7473",33
"458","VID_16677",33
"459","VID_18433",43
"460","VID_10243",80
"461","VID_23592",22
"462","VID_19401",33
"463","VID_2547",51
"464","VID_4525",70
"465","VID_13804",18
"466","VID_22266",-15
"467","VID_7560",47
"468","VID_10381",61
"469","VID_4977",4
"470","VID_14081",18
"471","VID_19054",32
"472","VID_2608",63
"473","VID_8639",78
"474","VID_4407",-11
"475","VID_9135",81
"476","VID_9462",49
"477","VID_10687",75
"478","VID_15274",48
"479","VID_22631",73
"480","VID_3777",69
"481","VID_10585",40
"482","VID_18024",8
"483","VID_10941",30
"484","VID_525",11
"485","VID_17097",63
"486","VID_13836",60
"487","VID_12202",22
"488","VID_20868",22
"489","VID_17084",-4
"490","VID_23196",7
"491","VID_7322",76
"492","VID_17922",54
"493","VID_5486",12
"494","VID_15289",27
"495","VID_7993",77
"496","VID_14078",55
"497","VID_21530",41
"498","VID_11469",73
"499","VID_20959",58
"500","VID_18159",73
"501","VID_19624",34
"502","VID_19029",43
"503","VID_3489",59
"504","VID_15983",-6
"505","VID_23605",42
"506","VID_23757",76
"507","VID_7488",23
"508","VID_15445",16
"509","VID_4538",24
"510","VID_22661",72
"511","VID_5912",58
"512","VID_3324",-2
"513","VID_21241",46
"514","VID_18194",38
"515","VID_8640",79
"516","VID_10657",77
"517","VID_3622",45
"518","VID_14909",30
"519","VID_5961",63
"520","VID_117",28
"521","VID_4690",9
"522","VID_10717",75
"523","VID_20280",64
"524","VID_6395",55
"525","VID_9199",50
"526","VID_6343",71
"527","VID_7459",3
"528","VID_18041",21
"529","VID_12175",72
"530","VID_8174",-26
"531","VID_15644",31
"532","VID_3021",10
"533","VID_251",30
"534","VID_20609",54
"535","VID_2033",60
"536","VID_20357",29
"537","VID_16428",81
"538","VID_12297",22
"539","VID_1214",43
"540","VID_19907",57
"541","VID_4697",78
"542","VID_22474",-44
"543","VID_4002",50
"544","VID_17351",53
"545","VID_937",26
"546","VID_17501",68
"547","VID_2312",52
"548","VID_22996",16
"549","VID_14413",75
"550","VID_7938",57
"551","VID_616",40
"552","VID_22499",74
"553","VID_21393",14
"554","VID_23320",48
"555","VID_22780",47
"556","VID_10862",51
"557","VID_21132",-66
"558","VID_1416",57
"559","VID_624",50
"560","VID_10127",71
"561","VID_15874",74
"562","VID_6946",44
"563","VID_8674",75
"564","VID_22878",58
"565","VID_560",61
"566","VID_13640",82
"567","VID_9765",75
"568","VID_22398",62
"569","VID_20560",47
"570","VID_4068",17
"571","VID_938",61
"572","VID_19068",36
"573","VID_8889",26
"574","VID_23347",35
"575","VID_16952",77
"576","VID_6032",54
"577","VID_5116",26
"578","VID_4210",18
"579","VID_22022",57
"580","VID_16770",62
"581","VID_18981",53
"582","VID_1668",37
"583","VID_23726",43
"584","VID_18550",81
"585","VID_5518",44
"586","VID_12958",55
"587","VID_16501",62
"588","VID_21485",23
"589","VID_14475",2
"590","VID_3865",12
"591","VID_21642",33
"592","VID_22934",-1
"593","VID_14667",25
"594","VID_5519",55
"595","VID_17889",17
"596","VID_17728",53
"597","VID_8727",23
"598","VID_14785",81
"599","VID_16387",33
"600","VID_10703",77
"601","VID_7213",27
"602","VID_14454",75
"603","VID_13455",63
"604","VID_5467",14
"605","VID_21139",-100
"606","VID_9033",32
"607","VID_3863",9
"608","VID_13990",57
"609","VID_2641",49
"610","VID_15745",10
"611","VID_5929",79
"612","VID_769",16
"613","VID_5499",68
"614","VID_8609",77
"615","VID_3903",23
"616","VID_19579",25
"617","VID_10506",19
"618","VID_23577",63
"619","VID_9042",47
"620","VID_10606",39
"621","VID_14849",54
"622","VID_10497",35
"623","VID_21208",63
"624","VID_12837",75
"625","VID_7924",46
"626","VID_21109",-1
"627","VID_6848",59
"628","VID_8993",63
"629","VID_10584",47
"630","VID_19794",68
"631","VID_15209",22
"632","VID_6195",14
"633","VID_22498",23
"634","VID_9814",74
"635","VID_18155",37
"636","VID_20573",29
"637","VID_4092",28
"638","VID_15455",73
"639","VID_8989",20
"640","VID_1852",29
"641","VID_17278",15
"642","VID_12619",41
"643","VID_22663",9
"644","VID_15372",52
"645","VID_13978",79
"646","VID_17325",69
"647","VID_19025",20
"648","VID_21374",62
"649","VID_10207",77
"650","VID_11924",64
"651","VID_8975",53
"652","VID_8851",80
"653","VID_12210",54
"654","VID_8178",-32
"655","VID_19252",58
"656","VID_5421",27
"657","VID_6757",70
"658","VID_8125",54
"659","VID_14709",27
"660","VID_5795",13
"661","VID_21888",29
"662","VID_14058",35
"663","VID_8028",19
"664","VID_22918",42
"665","VID_11731",-47
"666","VID_22841",62
"667","VID_7453",68
"668","VID_11870",54
"669","VID_20484",68
"670","VID_1971",71
"671","VID_599",50
"672","VID_16812",43
"673","VID_5401",31
"674","VID_16289",77
"675","VID_12150",52
"676","VID_13299",10
"677","VID_19015",67
"678","VID_1604",34
"679","VID_18013",30
"680","VID_2240",56
"681","VID_8114",76
"682","VID_13586",45
"683","VID_2784",73
"684","VID_1539",67
"685","VID_6787",30
"686","VID_11544",66
"687","VID_5296",50
"688","VID_5684",24
"689","VID_7467",58
"690","VID_5869",36
"691","VID_19596",26
"692","VID_96",68
"693","VID_859",58
"694","VID_13559",64
"695","VID_20976",40
"696","VID_18524",22
"697","VID_3089",17
"698","VID_4453",47
"699","VID_15802",40
"700","VID_18291",24
"701","VID_3914",76
"702","VID_10582",71
"703","VID_11482",74
"704","VID_615",56
"705","VID_19069",25
"706","VID_911",57
"707","VID_3308",44
"708","VID_5668",48
"709","VID_16402",1
"710","VID_19375",43
"711","VID_8556",71
"712","VID_19966",24
"713","VID_17274",38
"714","VID_407",72
"715","VID_23383",34
"716","VID_6105",70
"717","VID_2643",43
"718","VID_18875",42
"719","VID_13188",45
"720","VID_13504",-51
"721","VID_17900",10
"722","VID_6368",60
"723","VID_19648",19
"724","VID_23490",13
"725","VID_9098",63
"726","VID_12973",40
"727","VID_15207",29
"728","VID_17033",17
"729","VID_21758",67
"730","VID_21628",73
"731","VID_3935",75
"732","VID_5670",21
"733","VID_13844",38
"734","VID_20416",61
"735","VID_19885",10
"736","VID_15487",68
"737","VID_9890",47
"738","VID_17721",13
"739","VID_2585",28
"740","VID_19723",50
"741","VID_22716",76
"742","VID_10004",31
"743","VID_1529",64
"744","VID_8126",32
"745","VID_4224",38
"746","VID_22704",58
"747","VID_10705",75
"748","VID_10524",52
"749","VID_1133",39
"750","VID_3404",49
"751","VID_20344",71
"752","VID_9397",20
"753","VID_20601",17
"754","VID_9482",75
"755","VID_6673",48
"756","VID_3899",32
"757","VID_7008",-30
"758","VID_2690",66
"759","VID_7483",51
"760","VID_1614",61
"761","VID_241",57
"762","VID_13499",25
"763","VID_11734",-36
"764","VID_18937",41
"765","VID_11906",16
"766","VID_11525",57
"767","VID_4199",42
"768","VID_19984",19
"769","VID_15743",75
"770","VID_23097",4
"771","VID_16716",9
"772","VID_6805",55
"773","VID_6552",31
"774","VID_269",13
"775","VID_13646",17
"776","VID_10761",75
"777","VID_16502",63
"778","VID_10352",64
"779","VID_10226",74
"780","VID_23493",39
"781","VID_734",66
"782","VID_5364",65
"783","VID_5122",70
"784","VID_2104",59
"785","VID_5143",52
"786","VID_3850",23
"787","VID_23633",48
"788","VID_19158",59
"789","VID_23597",30
"790","VID_5716",25
"791","VID_23516",53
"792","VID_12921",39
"793","VID_17949",14
"794","VID_8164",-45
"795","VID_2097",31
"796","VID_10400",14
"797","VID_998",52
"798","VID_11447",45
"799","VID_7866",58
"800","VID_11664",28
"801","VID_7094",56
"802","VID_19536",16
"803","VID_13747",31
"804","VID_6307",42
"805","VID_2424",0
"806","VID_6363",61
"807","VID_1524",37
"808","VID_20772",46
"809","VID_23466",47
"810","VID_10752",75
"811","VID_4918",71
"812","VID_23046",70
"813","VID_6694",69
"814","VID_4646",44
"815","VID_17016",51
"816","VID_11145",74
"817","VID_12387",64
"818","VID_22126",49
"819","VID_17930",60
"820","VID_12268",24
"821","VID_5192",29
"822","VID_16369",27
"823","VID_11841",68
"824","VID_13926",44
"825","VID_5622",63
"826","VID_5346",60
"827","VID_10544",44
"828","VID_6622",38
"829","VID_17583",67
"830","VID_13876",13
"831","VID_1033",26
"832","VID_10998",50
"833","VID_7037",-8
"834","VID_22495",41
"835","VID_13170",79
"836","VID_7480",42
"837","VID_13753",77
"838","VID_13831",45
"839","VID_17763",22
"840","VID_2793",11
"841","VID_20514",48
"842","VID_22850",55
"843","VID_3953",40
"844","VID_2434",8
"845","VID_13670",21
"846","VID_12368",60
"847","VID_19664",27
"848","VID_4173",6
"849","VID_15859",41
"850","VID_14717",42
"851","VID_18425",52
"852","VID_5232",59
"853","VID_6288",9
"854","VID_7433",17
"855","VID_1003",24
"856","VID_13060",-50
"857","VID_15297",80
"858","VID_9730",56
"859","VID_19022",21
"860","VID_1885",20
"861","VID_7425",68
"862","VID_20867",55
"863","VID_2501",9
"864","VID_19822",74
"865","VID_10604",74
"866","VID_18763",76
"867","VID_1818",70
"868","VID_16644",61
"869","VID_7528",49
"870","VID_8166",-53
"871","VID_22357",35
"872","VID_3918",51
"873","VID_10589",17
"874","VID_3027",35
"875","VID_23607",35
"876","VID_9153",75
"877","VID_291",28
"878","VID_8213",67
"879","VID_9424",21
"880","VID_19769",31
"881","VID_22910",44
"882","VID_14626",32
"883","VID_2363",7
"884","VID_5125",36
"885","VID_16291",75
"886","VID_14392",40
"887","VID_1036",31
"888","VID_14153",60
"889","VID_13506",0
"890","VID_6149",33
"891","VID_2777",15
"892","VID_19018",25
"893","VID_8497",58
"894","VID_21395",28
"895","VID_7117",67
"896","VID_21328",75
"897","VID_7710",67
"898","VID_17750",72
"899","VID_1680",20
"900","VID_4028",59
"901","VID_20481",65
"902","VID_8880",18
"903","VID_21640",51
"904","VID_13074",46
"905","VID_8763",66
"906","VID_3983",12
"907","VID_432",72
"908","VID_14174",16
"909","VID_23234",40
"910","VID_23704",77
"911","VID_5492",14
"912","VID_6329",16
"913","VID_3504",18
"914","VID_5758",79
"915","VID_4794",57
"916","VID_20788",38
"917","VID_5213",34
"918","VID_6785",22
"919","VID_11456",40
"920","VID_22729",54
"921","VID_9741",77
"922","VID_16684",25
"923","VID_11853",58
"924","VID_3598",11
"925","VID_6772",18
"926","VID_2469",50
"927","VID_2206",51
"928","VID_6843",33
"929","VID_10634",4
"930","VID_8040",30
"931","VID_12369",17
"932","VID_2693",35
"933","VID_11067",72
"934","VID_11520",53
"935","VID_2821",19
"936","VID_3038",44
"937","VID_11250",53
"938","VID_22710",63
"939","VID_11733",-27
"940","VID_7363",77
"941","VID_23723",13
"942","VID_11688",-4
"943","VID_6034",14
"944","VID_22123",61
"945","VID_20388",54
"946","VID_6503",31
"947","VID_15018",66
"948","VID_22601",28
"949","VID_3210",12
"950","VID_11450",19
"951","VID_1040",40
"952","VID_13938",57
"953","VID_20462",26
"954","VID_22043",68
"955","VID_23262",9
"956","VID_13502",21
"957","VID_13855",36
"958","VID_1368",14
"959","VID_9381",75
"960","VID_12394",29
"961","VID_19290",75
"962","VID_5050",57
"963","VID_23326",66
"964","VID_5262",69
"965","VID_23088",63
"966","VID_13259",60
"967","VID_13056",-10
"968","VID_17553",54
"969","VID_5220",79
"970","VID_16497",76
"971","VID_17882",76
"972","VID_14613",25
"973","VID_600",72
"974","VID_19476",-87
"975","VID_814",28
"976","VID_21709",74
"977","VID_23117",43
"978","VID_22461",73
"979","VID_5566",68
"980","VID_3407",23
"981","VID_5958",29
"982","VID_15941",-25
"983","VID_11387",7
"984","VID_11741",22
"985","VID_70",77
"986","VID_20781",39
"987","VID_11832",14
"988","VID_1723",18
"989","VID_6240",64
"990","VID_8963",43
"991","VID_14121",39
"992","VID_7960",75
"993","VID_14523",46
"994","VID_20941",78
"995","VID_23728",44
"996","VID_17575",24
"997","VID_13353",55
"998","VID_18877",74
"999","VID_19283",77
"1000","VID_19494",55
"1001","VID_12311",67
"1002","VID_21019",63
"1003","VID_23343",49
"1004","VID_16495",47
"1005","VID_2932",74
"1006","VID_21207",25
"1007","VID_12004",11
"1008","VID_11129",60
"1009","VID_15892",14
"1010","VID_5645",66
"1011","VID_8615",79
"1012","VID_20982",77
"1013","VID_12201",13
"1014","VID_20427",75
"1015","VID_17217",23
"1016","VID_1642",40
"1017","VID_11516",18
"1018","VID_23022",75
"1019","VID_7142",33
"1020","VID_9909",78
"1021","VID_9529",78
"1022","VID_22664",20
"1023","VID_435",79
"1024","VID_15960",-4
"1025","VID_12952",24
"1026","VID_21100",61
"1027","VID_23229",63
"1028","VID_10906",39
"1029","VID_2945",43
"1030","VID_10393",4
"1031","VID_11026",22
"1032","VID_13865",48
"1033","VID_13079",15
"1034","VID_20285",22
"1035","VID_22600",79
"1036","VID_15248",28
"1037","VID_12096",39
"1038","VID_12609",49
"1039","VID_21464",23
"1040","VID_2568",-6
"1041","VID_18864",73
"1042","VID_3347",12
"1043","VID_15238",23
"1044","VID_17746",49
"1045","VID_20055",78
"1046","VID_7138",49
"1047","VID_5665",30
"1048","VID_8130",22
"1049","VID_14441",73
"1050","VID_8693",5
"1051","VID_12944",41
"1052","VID_3446",62
"1053","VID_2862",17
"1054","VID_5671",19
"1055","VID_8484",40
"1056","VID_5596",14
"1057","VID_15925",-16
"1058","VID_18290",63
"1059","VID_4102",47
"1060","VID_18762",25
"1061","VID_49",67
"1062","VID_19899",81
"1063","VID_6311",58
"1064","VID_9972",67
"1065","VID_12965",30
"1066","VID_12420",61
"1067","VID_7547",75
"1068","VID_21893",22
"1069","VID_21819",46
"1070","VID_20945",76
"1071","VID_3359",23
"1072","VID_1671",39
"1073","VID_7479",52
"1074","VID_12766",34
"1075","VID_8145",40
"1076","VID_13652",76
"1077","VID_21627",79
"1078","VID_472",27
"1079","VID_16667",62
"1080","VID_20187",21
"1081","VID_18033",56
"1082","VID_1061",52
"1083","VID_3719",49
"1084","VID_14470",22
"1085","VID_430",49
"1086","VID_22153",8
"1087","VID_19285",77
"1088","VID_8843",18
"1089","VID_11084",32
"1090","VID_1246",34
"1091","VID_22180",52
"1092","VID_3111",-1
"1093","VID_7313",23
"1094","VID_23081",19
"1095","VID_10020",47
"1096","VID_5656",18
"1097","VID_15080",54
"1098","VID_18949",78
"1099","VID_10056",58
"1100","VID_17696",31
"1101","VID_23304",-27
"1102","VID_22199",29
"1103","VID_4851",-21
"1104","VID_3917",45
"1105","VID_6859",67
"1106","VID_21622",59
"1107","VID_20987",33
"1108","VID_20279",62
"1109","VID_12069",53
"1110","VID_3742",-1
"1111","VID_5130",43
"1112","VID_3029",55
"1113","VID_23673",73
"1114","VID_9586",75
"1115","VID_11637",77
"1116","VID_15344",55
"1117","VID_12885",22
"1118","VID_4096",63
"1119","VID_4138",14
"1120","VID_12864",62
"1121","VID_5340",11
"1122","VID_11542",80
"1123","VID_18608",81
"1124","VID_15189",72
"1125","VID_22317",53
"1126","VID_22385",33
"1127","VID_10936",48
"1128","VID_11519",22
"1129","VID_12576",12
"1130","VID_20918",18
"1131","VID_17112",3
"1132","VID_2396",7
"1133","VID_3125",5
"1134","VID_9058",-5
"1135","VID_5939",70
"1136","VID_7593",16
"1137","VID_4754",10
"1138","VID_2974",74
"1139","VID_3590",31
"1140","VID_3600",22
"1141","VID_8459",77
"1142","VID_4543",70
"1143","VID_12434",51
"1144","VID_12167",50
"1145","VID_1322",51
"1146","VID_19409",78
"1147","VID_10523",34
"1148","VID_4457",65
"1149","VID_19478",80
"1150","VID_20828",43
"1151","VID_10775",71
"1152","VID_12091",42
"1153","VID_14378",15
"1154","VID_1418",53
"1155","VID_12458",53
"1156","VID_15357",52
"1157","VID_3555",70
"1158","VID_19662",59
"1159","VID_9393",-50
"1160","VID_19125",23
"1161","VID_17044",61
"1162","VID_14112",76
"1163","VID_22607",46
"1164","VID_9508",46
"1165","VID_18141",21
"1166","VID_13392",48
"1167","VID_6306",60
"1168","VID_16298",75
"1169","VID_5832",25
"1170","VID_20852",45
"1171","VID_2052",55
"1172","VID_11283",62
"1173","VID_20392",27
"1174","VID_22108",31
"1175","VID_3064",65
"1176","VID_4482",19
"1177","VID_11672",32
"1178","VID_3301",13
"1179","VID_20106",35
"1180","VID_16205",24
"1181","VID_9532",75
"1182","VID_11294",72
"1183","VID_12690",31
"1184","VID_21059",79
"1185","VID_2388",0
"1186","VID_17405",20
"1187","VID_3099",-4
"1188","VID_20770",46
"1189","VID_17262",28
"1190","VID_4476",72
"1191","VID_1163",41
"1192","VID_22777",63
"1193","VID_21090",73
"1194","VID_6598",46
"1195","VID_5743",71
"1196","VID_21253",76
"1197","VID_20611",-218
"1198","VID_1089",49
"1199","VID_4371",63
"1200","VID_17003",13
"1201","VID_18424",36
"1202","VID_1222",35
"1203","VID_6479",29
"1204","VID_13563",67
"1205","VID_12946",73
"1206","VID_8437",78
"1207","VID_21515",0
"1208","VID_14775",63
"1209","VID_17802",52
"1210","VID_8274",16
"1211","VID_23680",48
"1212","VID_6005",30
"1213","VID_23105",69
"1214","VID_9956",78
"1215","VID_6750",18
"1216","VID_16401",66
"1217","VID_23075",27
"1218","VID_14863",53
"1219","VID_19341",39
"1220","VID_19522",-12
"1221","VID_7749",44
"1222","VID_17107",49
"1223","VID_12774",27
"1224","VID_8974",70
"1225","VID_11208",35
"1226","VID_6781",26
"1227","VID_2411",30
"1228","VID_8384",-32
"1229","VID_21496",11
"1230","VID_18389",7
"1231","VID_18660",68
"1232","VID_1547",29
"1233","VID_1065",25
"1234","VID_7387",8
"1235","VID_11746",24
"1236","VID_7133",12
"1237","VID_17890",62
"1238","VID_12710",26
"1239","VID_4806",34
"1240","VID_1976",80
"1241","VID_13114",25
"1242","VID_19933",19
"1243","VID_8961",13
"1244","VID_4436",48
"1245","VID_11471",37
"1246","VID_6393",44
